Team,ELO
Netherlands,1660.8013748692765
France,1658.8717748485005
Brazil,1615.9408914333012
Germany,1609.163466377454
Argentina,1606.8544676468791
England,1580.2607202910265
Belgium,1575.4861700269123
Croatia,1568.2623761619225
Spain,1556.4659458090223
Colombia,1556.2525192726837
Portugal,1541.3958801352296
Uruguay,1538.9454318268356
Italy,1535.8550340990787
Sweden,1531.5790278163781
West Germany,1527.9227960104295
Chile,1524.3006167710064
Turkey,1522.8365265681146
Morocco,1519.16598445751
Mexico,1518.9143711151953
Ecuador,1518.0706516427142
Senegal,1517.5391867155543
Soviet Union,1515.7411798684361
Switzerland,1509.37180830431
Paraguay,1509.269579016256
Republic of Ireland,1508.4263627885214
Norway,1508.344909007621
Yugoslavia,1508.3401710050025
Romania,1507.75812493277
FR Yugoslavia,1507.3418204220227
East Germany,1502.2140368666335
Russia,1502.1945204371107
Austria,1500.3260209933512
Ukraine,1499.761375191014
Cuba,1499.1656238879066
Dutch East Indies,1498.8908705845079
Israel,1498.6571886799122
Czechoslovakia,1497.89959942006
Peru,1496.7899403295005
Ivory Coast,1494.4206957025851
Bosnia and Herzegovina,1493.9263283549487
Kuwait,1493.8758309188604
Czech Republic,1493.5098267185524
New Zealand,1492.7993522014328
Angola,1492.0236795103085
Hungary,1491.8782749874956
Northern Ireland,1491.5130244925274
Jamaica,1489.6158990550286
Haiti,1489.6028275964022
Zaire,1489.2837144354871
Japan,1488.9217941589718
Denmark,1488.3760223405181
Iraq,1487.9637287028027
Slovakia,1487.6597407159504
United States,1487.587246558678
South Africa,1486.1866145787978
Bolivia,1485.946528771301
Trinidad and Tobago,1481.8594324730816
El Salvador,1481.192566498501
Algeria,1479.2888833325007
Bulgaria,1479.1301984830106
Scotland,1477.188601713984
Slovenia,1474.4991119486685
Serbia and Montenegro,1474.207370674365
China,1473.7286749878226
Ghana,1472.5831998223741
Iceland,1471.6799799846717
Togo,1467.5376766906427
Costa Rica,1465.6264488747838
Greece,1464.5394339125362
North Korea,1461.4110400396487
Poland,1461.1615051764932
Nigeria,1459.9002602079117
South Korea,1456.310811335124
Tunisia,1455.061727019998
Australia,1454.935358365262
Egypt,1453.414999631955
Serbia,1451.6508434247273
Iran,1449.892469154451
Panama,1447.984115916313
Wales,1444.758315456089
Canada,1442.4185971407921
Honduras,1437.5789598206256
Qatar,1436.2504990860302
Cameroon,1426.6275167242732
Saudi Arabia,1417.1119266727562
